date,TCMNOM_M1,TCMNOM_Y1,TCMNOM_Y5
01/01/1973,,,
01/02/1973,,5.72,6.29
01/03/1973,,5.69,6.26
01/04/1973,,5.67,6.23
01/05/1973,,5.7,6.27
01/08/1973,,5.74,6.3
01/09/1973,,5.74,6.3
01/10/1973,,5.76,6.31
01/11/1973,,5.79,6.31
01/12/1973,,5.87,6.33
01/15/1973,,5.87,6.31
01/16/1973,,5.89,6.32
01/17/1973,,5.88,6.3
01/18/1973,,5.89,6.32
01/19/1973,,5.93,6.36
01/22/1973,,5.94,6.38
01/23/1973,,5.95,6.35
01/24/1973,,6.02,6.39
01/25/1973,,6.04,6.41
01/26/1973,,6.19,6.44
01/29/1973,,6.16,6.44
01/30/1973,,6.08,6.44
01/31/1973,,6.09,6.45
02/01/1973,,6.2,6.56
02/02/1973,,6.23,6.58
02/05/1973,,6.22,6.58
02/06/1973,,6.23,6.58
02/07/1973,,6.18,6.57
02/08/1973,,6.12,6.55
02/09/1973,,6.06,6.51
02/12/1973,,,
02/13/1973,,6.08,6.54
02/14/1973,,6.05,6.54
02/15/1973,,6,6.53
02/16/1973,,6.01,6.55
02/19/1973,,,
02/20/1973,,6.13,6.65
02/21/1973,,6.21,6.65
02/22/1973,,6.21,6.64
02/23/1973,,6.23,6.6
02/26/1973,,6.38,6.72
02/27/1973,,6.43,6.72
02/28/1973,,6.43,6.73
03/01/1973,,6.43,6.72
03/02/1973,,6.47,6.77
03/05/1973,,6.52,6.79
03/06/1973,,6.63,6.83
03/07/1973,,6.63,6.8
03/08/1973,,6.66,6.83
03/09/1973,,6.74,6.83
03/12/1973,,6.77,6.84
03/13/1973,,6.8,6.81
03/14/1973,,6.85,6.82
03/15/1973,,6.93,6.85
03/16/1973,,7.13,6.92
03/19/1973,,7.06,6.85
03/20/1973,,7.02,6.85
03/21/1973,,7.02,6.83
03/22/1973,,7.03,6.84
03/23/1973,,7.01,6.84
03/26/1973,,6.98,6.76
03/27/1973,,6.96,6.74
03/28/1973,,6.98,6.69
03/29/1973,,6.99,6.68
03/30/1973,,7.09,6.81
04/02/1973,,7.09,6.81
04/03/1973,,7.07,6.77
04/04/1973,,7.03,6.71
04/05/1973,,7,6.7
04/06/1973,,6.87,6.59
04/09/1973,,6.77,6.55
04/10/1973,,6.79,6.58
04/11/1973,,6.85,6.63
04/12/1973,,6.86,6.64
04/13/1973,,6.81,6.55
04/16/1973,,6.77,6.57
04/17/1973,,6.77,6.66
04/18/1973,,6.74,6.67
04/19/1973,,6.77,6.71
04/20/1973,,,
04/23/1973,,6.82,6.76
04/24/1973,,6.79,6.73
04/25/1973,,6.8,6.72
04/26/1973,,6.76,6.67
04/27/1973,,6.77,6.7
04/30/1973,,6.8,6.73
05/01/1973,,6.83,6.77
05/02/1973,,6.83,6.78
05/03/1973,,6.84,6.8
05/04/1973,,6.83,6.83
05/07/1973,,6.83,6.83
05/08/1973,,6.81,6.8
05/09/1973,,6.74,6.78
05/10/1973,,6.72,6.77
05/11/1973,,6.76,6.81
05/14/1973,,6.75,6.8
05/15/1973,,6.71,6.78
05/16/1973,,6.7,6.76
05/17/1973,,6.85,6.81
05/18/1973,,6.91,6.83
05/21/1973,,6.97,6.86
05/22/1973,,7,6.86
05/23/1973,,7.08,6.84
05/24/1973,,7.04,6.8
05/25/1973,,7.04,6.78
05/28/1973,,,
05/29/1973,,7.1,6.8
05/30/1973,,7.16,6.8
05/31/1973,,7.16,6.78
06/01/1973,,7.22,6.78
06/04/1973,,7.28,6.8
06/05/1973,,7.23,6.7
06/06/1973,,7.21,6.57
06/07/1973,,7.2,6.61
06/08/1973,,7.2,6.59
06/11/1973,,7.23,6.62
06/12/1973,,7.2,6.61
06/13/1973,,7.19,6.62
06/14/1973,,7.2,6.62
06/15/1973,,7.19,6.63
06/18/1973,,7.25,6.65
06/19/1973,,7.29,6.66
06/20/1973,,7.29,6.66
06/21/1973,,7.29,6.67
06/22/1973,,7.34,6.7
06/25/1973,,7.39,6.74
06/26/1973,,7.41,6.76
06/27/1973,,7.53,6.78
06/28/1973,,7.58,6.82
06/29/1973,,7.74,6.9
07/02/1973,,7.98,7
07/03/1973,,8.03,7.03
07/04/1973,,,
07/05/1973,,8.06,7.02
07/06/1973,,8.11,7.07
07/09/1973,,8.19,7.18
07/10/1973,,8.12,7.11
07/11/1973,,8.02,7.11
07/12/1973,,8.08,7.12
07/13/1973,,8.19,7.17
07/16/1973,,8.24,7.21
07/17/1973,,8.26,7.22
07/18/1973,,8.38,7.26
07/19/1973,,8.54,7.39
07/20/1973,,8.61,7.48
07/23/1973,,8.61,7.45
07/24/1973,,8.67,7.5
07/25/1973,,8.71,7.56
07/26/1973,,8.75,7.7
07/27/1973,,8.86,7.78
07/30/1973,,8.89,7.8
07/31/1973,,8.87,7.87
08/01/1973,,8.91,7.94
08/02/1973,,8.91,7.86
08/03/1973,,8.94,7.98
08/06/1973,,9.08,8.06
08/07/1973,,9.23,8.13
08/08/1973,,9.2,7.97
08/09/1973,,9.18,8.01
08/10/1973,,9.22,7.96
08/13/1973,,9.15,7.84
08/14/1973,,9.01,7.81
08/15/1973,,8.97,7.71
08/16/1973,,8.76,7.54
08/17/1973,,8.58,7.41
08/20/1973,,8.77,7.5
08/21/1973,,8.76,7.47
08/22/1973,,8.75,7.51
08/23/1973,,8.55,7.31
08/24/1973,,8.45,7.15
08/27/1973,,8.51,7.23
08/28/1973,,8.54,7.31
08/29/1973,,8.51,7.22
08/30/1973,,8.47,7.26
08/31/1973,,8.47,7.28
09/03/1973,,,
09/04/1973,,8.46,7.22
09/05/1973,,8.36,7.12
09/06/1973,,8.38,7.12
09/07/1973,,8.35,7.1
09/10/1973,,8.44,7.23
09/11/1973,,8.51,7.33
09/12/1973,,8.63,7.33
09/13/1973,,8.71,7.36
09/14/1973,,8.66,7.29
09/17/1973,,8.56,7.11
09/18/1973,,8.4,6.99
09/19/1973,,8.41,7.02
09/20/1973,,8.37,6.95
09/21/1973,,8.25,6.91
09/24/1973,,8.16,6.81
09/25/1973,,8.08,6.79
09/26/1973,,7.95,6.82
09/27/1973,,7.64,6.8
09/28/1973,,7.5,6.72
10/01/1973,,7.55,6.75
10/02/1973,,7.77,6.88
10/03/1973,,7.74,6.82
10/04/1973,,7.76,6.88
10/05/1973,,7.52,6.72
10/08/1973,,,
10/09/1973,,7.42,6.68
10/10/1973,,7.47,6.74
10/11/1973,,7.46,6.74
10/12/1973,,7.37,6.68
10/15/1973,,7.39,6.75
10/16/1973,,7.43,6.8
10/17/1973,,7.4,6.79
10/18/1973,,7.39,6.77
10/19/1973,,7.31,6.75
10/22/1973,,,
10/23/1973,,7.29,6.8
10/24/1973,,7.19,6.81
10/25/1973,,7.18,6.76
10/26/1973,,7.17,6.76
10/29/1973,,7.16,6.77
10/30/1973,,7.14,6.75
10/31/1973,,7.21,6.8
11/01/1973,,7.33,6.83
11/02/1973,,7.44,6.85
11/05/1973,,7.64,7
11/06/1973,,,
11/07/1973,,7.8,6.98
11/08/1973,,7.71,6.91
11/09/1973,,7.78,6.93
11/12/1973,,7.9,7.03
11/13/1973,,8,7.16
11/14/1973,,8.02,7.19
11/15/1973,,7.82,7.1
11/16/1973,,7.73,7.05
11/19/1973,,7.54,6.91
11/20/1973,,7.49,6.9
11/21/1973,,7.45,6.8
11/22/1973,,,
11/23/1973,,7.43,6.81
11/26/1973,,7.22,6.76
11/27/1973,,7.25,6.77
11/28/1973,,7.25,6.8
11/29/1973,,7.3,6.8
11/30/1973,,7.28,6.77
12/03/1973,,7.32,6.84
12/04/1973,,7.36,6.85
12/05/1973,,7.48,6.9
12/06/1973,,7.56,6.91
12/07/1973,,7.52,6.88
12/10/1973,,7.32,6.72
12/11/1973,,7.31,6.77
12/12/1973,,7.21,6.73
12/13/1973,,7.25,6.76
12/14/1973,,7.16,6.74
12/17/1973,,7.01,6.71
12/18/1973,,7.05,6.75
12/19/1973,,7.1,6.75
12/20/1973,,7.09,6.73
12/21/1973,,7.15,6.75
12/24/1973,,,
12/25/1973,,,
12/26/1973,,7.36,6.87
12/27/1973,,7.32,6.84
12/28/1973,,7.27,6.81
12/31/1973,,7.3,6.83
01/01/1974,,,
01/02/1974,,7.38,6.86
01/03/1974,,7.32,6.83
01/04/1974,,7.27,6.83
01/07/1974,,7.33,6.86
01/08/1974,,7.34,6.87
01/09/1974,,7.34,6.87
01/10/1974,,7.45,6.91
01/11/1974,,7.47,6.96
01/14/1974,,7.52,6.98
01/15/1974,,7.48,6.94
01/16/1974,,7.49,6.96
01/17/1974,,7.47,6.93
01/18/1974,,7.48,6.94
01/21/1974,,7.52,6.99
01/22/1974,,7.54,7.05
01/23/1974,,7.56,7.08
01/24/1974,,7.53,7.06
01/25/1974,,7.53,7.06
01/28/1974,,7.44,7.01
01/29/1974,,7.41,7
01/30/1974,,7.27,6.97
01/31/1974,,7.12,6.91
02/01/1974,,6.92,6.85
02/04/1974,,6.74,6.8
02/05/1974,,6.76,6.8
02/06/1974,,6.74,6.77
02/07/1974,,6.92,6.82
02/08/1974,,6.86,6.79
02/11/1974,,6.87,6.78
02/12/1974,,,
02/13/1974,,6.84,6.76
02/14/1974,,6.75,6.72
02/15/1974,,6.78,6.74
02/18/1974,,,
02/19/1974,,6.8,6.76
02/20/1974,,6.83,6.77
02/21/1974,,6.84,6.81
02/22/1974,,6.91,6.82
02/25/1974,,6.93,6.83
02/26/1974,,7.11,6.94
02/27/1974,,7.14,6.96
02/28/1974,,7.16,6.98
03/01/1974,,7.23,7.06
03/04/1974,,7.28,7.08
03/05/1974,,7.31,7.08
03/06/1974,,7.26,7.02
03/07/1974,,7.25,7.01
03/08/1974,,7.4,7.09
03/11/1974,,7.3,7.12
03/12/1974,,7.36,7.12
03/13/1974,,7.48,7.16
03/14/1974,,7.45,7.14
03/15/1974,,7.54,7.22
03/18/1974,,7.71,7.32
03/19/1974,,7.77,7.33
03/20/1974,,7.98,7.4
03/21/1974,,8.39,7.56
03/22/1974,,8.47,7.65
03/25/1974,,8.48,7.68
03/26/1974,,8.3,7.62
03/27/1974,,8.17,7.59
03/28/1974,,8.46,7.67
03/29/1974,,8.36,7.65
04/01/1974,,8.34,7.67
04/02/1974,,8.41,7.71
04/03/1974,,8.43,7.75
04/04/1974,,8.53,7.88
04/05/1974,,8.65,7.97
04/08/1974,,8.62,7.92
04/09/1974,,8.63,7.92
04/10/1974,,8.54,7.84
04/11/1974,,8.51,7.83
04/12/1974,,,
04/15/1974,,8.39,7.75
04/16/1974,,8.52,7.88
04/17/1974,,8.63,7.88
04/18/1974,,8.72,7.97
04/19/1974,,8.63,7.93
04/22/1974,,8.63,7.95
04/23/1974,,8.67,7.96
04/24/1974,,8.63,7.95
04/25/1974,,8.8,8.04
04/26/1974,,8.83,8.11
04/29/1974,,8.96,8.2
04/30/1974,,8.99,8.21
05/01/1974,,8.94,8.16
05/02/1974,,8.92,8.2
05/03/1974,,9.17,8.35
05/06/1974,,9.23,8.42
05/07/1974,,9.24,8.56
05/08/1974,,9.22,8.46
05/09/1974,,9.24,8.47
05/10/1974,,9.02,8.19
05/13/1974,,8.83,8.06
05/14/1974,,8.92,8.13
