date,TCMNOM_M1,TCMNOM_Y1,TCMNOM_Y5,FF_O
1/1/1973,,,,6
1/2/1973,,5.72,6.29,5.5
1/3/1973,,5.69,6.26,5.75
1/4/1973,,5.67,6.23,5.75
1/5/1973,,5.7,6.27,5.63
1/8/1973,,5.74,6.3,5.5
1/9/1973,,5.74,6.3,5.5
1/10/1973,,5.76,6.31,5.75
1/11/1973,,5.79,6.31,5.75
1/12/1973,,5.87,6.33,5.88
1/15/1973,,5.87,6.31,6.5
1/16/1973,,5.89,6.32,5.63
1/17/1973,,5.88,6.3,5.75
1/18/1973,,5.89,6.32,6
1/19/1973,,5.93,6.36,6
1/22/1973,,5.94,6.38,6.25
1/23/1973,,5.95,6.35,6.19
1/24/1973,,6.02,6.39,6.31
1/25/1973,,6.04,6.41,6.38
1/26/1973,,6.19,6.44,6.25
1/29/1973,,6.16,6.44,6.25
1/30/1973,,6.08,6.44,6.5
1/31/1973,,6.09,6.45,6.44
2/1/1973,,6.2,6.56,6.44
2/2/1973,,6.23,6.58,6.25
2/5/1973,,6.22,6.58,5.75
2/6/1973,,6.23,6.58,5.75
2/7/1973,,6.18,6.57,6.25
2/8/1973,,6.12,6.55,6.38
2/9/1973,,6.06,6.51,6.44
2/12/1973,,,,6.75
2/13/1973,,6.08,6.54,7.5
2/14/1973,,6.05,6.54,7
2/15/1973,,6,6.53,7.25
2/16/1973,,6.01,6.55,
2/19/1973,,,,6.25
2/20/1973,,6.13,6.65,5.25
2/21/1973,,6.21,6.65,6.38
2/22/1973,,6.21,6.64,6.38
2/23/1973,,6.23,6.6,6.75
2/26/1973,,6.38,6.72,7.5
2/27/1973,,6.43,6.72,7.5
2/28/1973,,6.43,6.73,7
3/1/1973,,6.43,6.72,7.38
3/2/1973,,6.47,6.77,7
3/5/1973,,6.52,6.79,6.75
3/6/1973,,6.63,6.83,6.25
3/7/1973,,6.63,6.8,7
3/8/1973,,6.66,6.83,7.13
3/9/1973,,6.74,6.83,7.25
3/12/1973,,6.77,6.84,7.5
3/13/1973,,6.8,6.81,6.75
3/14/1973,,6.85,6.82,7.25
3/15/1973,,6.93,6.85,7.25
3/16/1973,,7.13,6.92,7
3/19/1973,,7.06,6.85,6.75
3/20/1973,,7.02,6.85,6
3/21/1973,,7.02,6.83,7.13
3/22/1973,,7.03,6.84,7
3/23/1973,,7.01,6.84,7.13
3/26/1973,,6.98,6.76,7.25
3/27/1973,,6.96,6.74,7.25
3/28/1973,,6.98,6.69,7.5
3/29/1973,,6.99,6.68,7.38
3/30/1973,,7.09,6.81,7.38
4/2/1973,,7.09,6.81,6.88
4/3/1973,,7.07,6.77,6.38
4/4/1973,,7.03,6.71,7.13
4/5/1973,,7,6.7,7.13
4/6/1973,,6.87,6.59,6.75
4/9/1973,,6.77,6.55,6.63
4/10/1973,,6.79,6.58,6
4/11/1973,,6.85,6.63,6.88
4/12/1973,,6.86,6.64,6.88
4/13/1973,,6.81,6.55,7.13
4/16/1973,,6.77,6.57,7.75
4/17/1973,,6.77,6.66,8.25
4/18/1973,,6.74,6.67,7.38
4/19/1973,,6.77,6.71,7
4/20/1973,,,,6.88
4/23/1973,,6.82,6.76,7.25
4/24/1973,,6.79,6.73,7.5
4/25/1973,,6.8,6.72,7.38
4/26/1973,,6.76,6.67,7.38
4/27/1973,,6.77,6.7,7.63
4/30/1973,,6.8,6.73,7.88
5/1/1973,,6.83,6.77,7
5/2/1973,,6.83,6.78,7.44
5/3/1973,,6.84,6.8,7.63
5/4/1973,,6.83,6.83,7.88
5/7/1973,,6.83,6.83,7.75
5/8/1973,,6.81,6.8,7.25
5/9/1973,,6.74,6.78,7.69
5/10/1973,,6.72,6.77,7.88
5/11/1973,,6.76,6.81,7.75
5/14/1973,,6.75,6.8,7.63
5/15/1973,,6.71,6.78,8
5/16/1973,,6.7,6.76,8.13
5/17/1973,,6.85,6.81,8
5/18/1973,,6.91,6.83,7.88
5/21/1973,,6.97,6.86,8.19
5/22/1973,,7,6.86,8.25
5/23/1973,,7.08,6.84,8.13
5/24/1973,,7.04,6.8,8
5/25/1973,,7.04,6.78,
5/28/1973,,,,7.88
5/29/1973,,7.1,6.8,7.63
5/30/1973,,7.16,6.8,8.13
5/31/1973,,7.16,6.78,8.44
6/1/1973,,7.22,6.78,8.63
6/4/1973,,7.28,6.8,8.69
6/5/1973,,7.23,6.7,8.25
6/6/1973,,7.21,6.57,8.5
6/7/1973,,7.2,6.61,8.25
6/8/1973,,7.2,6.59,8.44
6/11/1973,,7.23,6.62,8.25
6/12/1973,,7.2,6.61,7.25
6/13/1973,,7.19,6.62,8.38
6/14/1973,,7.2,6.62,8.5
6/15/1973,,7.19,6.63,8.69
6/18/1973,,7.25,6.65,8.69
6/19/1973,,7.29,6.66,8.63
6/20/1973,,7.29,6.66,8.69
6/21/1973,,7.29,6.67,8.56
6/22/1973,,7.34,6.7,8.5
6/25/1973,,7.39,6.74,8.75
6/26/1973,,7.41,6.76,8.5
6/27/1973,,7.53,6.78,8.88
6/28/1973,,7.58,6.82,8.88
6/29/1973,,7.74,6.9,10
7/2/1973,,7.98,7,13
7/3/1973,,8.03,7.03,
7/4/1973,,,,9.75
7/5/1973,,8.06,7.02,9.63
7/6/1973,,8.11,7.07,9.75
7/9/1973,,8.19,7.18,9.5
7/10/1973,,8.12,7.11,8.75
7/11/1973,,8.02,7.11,9.75
7/12/1973,,8.08,7.12,9.69
7/13/1973,,8.19,7.17,11
7/16/1973,,8.24,7.21,11.75
7/17/1973,,8.26,7.22,10
7/18/1973,,8.38,7.26,10.8
7/19/1973,,8.54,7.39,10.66
7/20/1973,,8.61,7.48,10.81
7/23/1973,,8.61,7.45,10.69
7/24/1973,,8.67,7.5,9.8
7/25/1973,,8.71,7.56,10.69
7/26/1973,,8.75,7.7,10.74
7/27/1973,,8.86,7.78,11.1
7/30/1973,,8.89,7.8,11.22
7/31/1973,,8.87,7.87,8.74
8/1/1973,,8.91,7.94,10.84
8/2/1973,,8.91,7.86,10.71
8/3/1973,,8.94,7.98,10.56
8/6/1973,,9.08,8.06,10.13
8/7/1973,,9.23,8.13,9.05
8/8/1973,,9.2,7.97,10.5
8/9/1973,,9.18,8.01,10.52
8/10/1973,,9.22,7.96,10.54
8/13/1973,,9.15,7.84,10.39
8/14/1973,,9.01,7.81,9.73
8/15/1973,,8.97,7.71,10.49
8/16/1973,,8.76,7.54,10.44
8/17/1973,,8.58,7.41,10.58
8/20/1973,,8.77,7.5,10.74
8/21/1973,,8.76,7.47,10.48
8/22/1973,,8.75,7.51,10.79
8/23/1973,,8.55,7.31,10.84
8/24/1973,,8.45,7.15,10.77
8/27/1973,,8.51,7.23,10.55
8/28/1973,,8.54,7.31,10.88
8/29/1973,,8.51,7.22,10.86
8/30/1973,,8.47,7.26,11.22
8/31/1973,,8.47,7.28,
9/3/1973,,,,10.85
9/4/1973,,8.46,7.22,8.96
9/5/1973,,8.36,7.12,10.73
9/6/1973,,8.38,7.12,10.79
9/7/1973,,8.35,7.1,11.15
9/10/1973,,8.44,7.23,10.92
9/11/1973,,8.51,7.33,10.03
9/12/1973,,8.63,7.33,10.93
9/13/1973,,8.71,7.36,10.82
9/14/1973,,8.66,7.29,10.84
9/17/1973,,8.56,7.11,10.68
9/18/1973,,8.4,6.99,10.71
9/19/1973,,8.41,7.02,10.79
9/20/1973,,8.37,6.95,10.74
9/21/1973,,8.25,6.91,10.69
9/24/1973,,8.16,6.81,10.54
9/25/1973,,8.08,6.79,11.63
9/26/1973,,7.95,6.82,10.92
9/27/1973,,7.64,6.8,10.82
9/28/1973,,7.5,6.72,10.9
10/1/1973,,7.55,6.75,10.73
10/2/1973,,7.77,6.88,10.04
10/3/1973,,7.74,6.82,10.8
10/4/1973,,7.76,6.88,10.62
10/5/1973,,7.52,6.72,
10/8/1973,,,,9.31
10/9/1973,,7.42,6.68,6.48
10/10/1973,,7.47,6.74,10.08
10/11/1973,,7.46,6.74,10.09
10/12/1973,,7.37,6.68,10
10/15/1973,,7.39,6.75,10.1
10/16/1973,,7.43,6.8,10.02
10/17/1973,,7.4,6.79,10.01
10/18/1973,,7.39,6.77,9.85
10/19/1973,,7.31,6.75,
10/22/1973,,,,9.86
10/23/1973,,7.29,6.8,10.56
10/24/1973,,7.19,6.81,9.81
10/25/1973,,7.18,6.76,9.7
10/26/1973,,7.17,6.76,9.8
10/29/1973,,7.16,6.77,9.95
10/30/1973,,7.14,6.75,10.61
10/31/1973,,7.21,6.8,9.88
11/1/1973,,7.33,6.83,9.71
11/2/1973,,7.44,6.85,9.73
11/5/1973,,7.64,7,9.76
11/6/1973,,,,9.45
11/7/1973,,7.8,6.98,9.77
11/8/1973,,7.71,6.91,9.75
11/9/1973,,7.78,6.93,9.78
11/12/1973,,7.9,7.03,10.04
11/13/1973,,8,7.16,11.39
11/14/1973,,8.02,7.19,10
11/15/1973,,7.82,7.1,10.19
11/16/1973,,7.73,7.05,10.84
11/19/1973,,7.54,6.91,10.77
11/20/1973,,7.49,6.9,9.44
11/21/1973,,7.45,6.8,
11/22/1973,,,,10.17
11/23/1973,,7.43,6.81,10.15
11/26/1973,,7.22,6.76,10.25
11/27/1973,,7.25,6.77,10.26
11/28/1973,,7.25,6.8,10.26
11/29/1973,,7.3,6.8,10.34
11/30/1973,,7.28,6.77,10.45
12/3/1973,,7.32,6.84,10.4
12/4/1973,,7.36,6.85,9.07
12/5/1973,,7.48,6.9,10.24
12/6/1973,,7.56,6.91,10.27
12/7/1973,,7.52,6.88,10.26
12/10/1973,,7.32,6.72,10.16
12/11/1973,,7.31,6.77,8.84
12/12/1973,,7.21,6.73,10
12/13/1973,,7.25,6.76,10.09
12/14/1973,,7.16,6.74,10.44
12/17/1973,,7.01,6.71,10.32
12/18/1973,,7.05,6.75,10.22
12/19/1973,,7.1,6.75,10.13
12/20/1973,,7.09,6.73,10.01
12/21/1973,,7.15,6.75,9.66
12/24/1973,,,,
12/25/1973,,,,7.19
12/26/1973,,7.36,6.87,9.87
12/27/1973,,7.32,6.84,9.95
12/28/1973,,7.27,6.81,9.83
12/31/1973,,7.3,6.83,
1/1/1974,,,,9.72
1/2/1974,,7.38,6.86,9.8
1/3/1974,,7.32,6.83,9.84
1/4/1974,,7.27,6.83,9.76
1/7/1974,,7.33,6.86,9.56
1/8/1974,,7.34,6.87,9.7
1/9/1974,,7.34,6.87,9.69
1/10/1974,,7.45,6.91,9.75
1/11/1974,,7.47,6.96,9.76
1/14/1974,,7.52,6.98,9.82
1/15/1974,,7.48,6.94,9.89
1/16/1974,,7.49,6.96,9.7
1/17/1974,,7.47,6.93,9.62
1/18/1974,,7.48,6.94,9.58
1/21/1974,,7.52,6.99,9.46
1/22/1974,,7.54,7.05,9.58
1/23/1974,,7.56,7.08,9.47
1/24/1974,,7.53,7.06,9.5
1/25/1974,,7.53,7.06,9.48
1/28/1974,,7.44,7.01,9.28
1/29/1974,,7.41,7,9.58
1/30/1974,,7.27,6.97,9.31
1/31/1974,,7.12,6.91,9.31
2/1/1974,,6.92,6.85,9.14
2/4/1974,,6.74,6.8,8.8
2/5/1974,,6.76,6.8,8.76
2/6/1974,,6.74,6.77,8.8
2/7/1974,,6.92,6.82,8.81
2/8/1974,,6.86,6.79,8.88
2/11/1974,,6.87,6.78,9.02
2/12/1974,,,,9.37
2/13/1974,,6.84,6.76,8.87
2/14/1974,,6.75,6.72,8.99
2/15/1974,,6.78,6.74,
2/18/1974,,,,9.16
2/19/1974,,6.8,6.76,9.52
2/20/1974,,6.83,6.77,8.91
2/21/1974,,6.84,6.81,8.85
2/22/1974,,6.91,6.82,8.76
2/25/1974,,6.93,6.83,8.76
2/26/1974,,7.11,6.94,8.72
2/27/1974,,7.14,6.96,8.87
2/28/1974,,7.16,6.98,8.97
3/1/1974,,7.23,7.06,9.07
3/4/1974,,7.28,7.08,9.14
3/5/1974,,7.31,7.08,8.87
3/6/1974,,7.26,7.02,8.94
3/7/1974,,7.25,7.01,8.92
3/8/1974,,7.4,7.09,8.95
3/11/1974,,7.3,7.12,9.16
3/12/1974,,7.36,7.12,9.39
3/13/1974,,7.48,7.16,9.14
3/14/1974,,7.45,7.14,9.35
3/15/1974,,7.54,7.22,9.52
3/18/1974,,7.71,7.32,9.31
3/19/1974,,7.77,7.33,9.28
3/20/1974,,7.98,7.4,9.49
3/21/1974,,8.39,7.56,9.65
3/22/1974,,8.47,7.65,9.87
3/25/1974,,8.48,7.68,9.51
3/26/1974,,8.3,7.62,9.48
3/27/1974,,8.17,7.59,10.09
3/28/1974,,8.46,7.67,9.95
3/29/1974,,8.36,7.65,10.01
4/1/1974,,8.34,7.67,9.84
4/2/1974,,8.41,7.71,9.75
4/3/1974,,8.43,7.75,9.89
4/4/1974,,8.53,7.88,9.95
4/5/1974,,8.65,7.97,10.19
4/8/1974,,8.62,7.92,10.14
4/9/1974,,8.63,7.92,10.09
4/10/1974,,8.54,7.84,10.25
4/11/1974,,8.51,7.83,10.27
4/12/1974,,,,10.36
4/15/1974,,8.39,7.75,10.55
4/16/1974,,8.52,7.88,10.55
4/17/1974,,8.63,7.88,10.68
4/18/1974,,8.72,7.97,10.81
4/19/1974,,8.63,7.93,11
4/22/1974,,8.63,7.95,11.08
4/23/1974,,8.67,7.96,10.3
4/24/1974,,8.63,7.95,11.25
4/25/1974,,8.8,8.04,11.36
4/26/1974,,8.83,8.11,11.29
4/29/1974,,8.96,8.2,11
4/30/1974,,8.99,8.21,10.57
5/1/1974,,8.94,8.16,11.28
5/2/1974,,8.92,8.2,11.53
5/3/1974,,9.17,8.35,11.47
5/6/1974,,9.23,8.42,11.28
5/7/1974,,9.24,8.56,10.41
5/8/1974,,9.22,8.46,11.51
5/9/1974,,9.24,8.47,11.47
5/10/1974,,9.02,8.19,11.55
5/13/1974,,8.83,8.06,11.4
5/14/1974,,8.92,8.13,11.36
5/15/1974,,8.67,8.1,11.52
5/16/1974,,8.65,8.12,11.37
5/17/1974,,8.73,8.21,11.17
5/20/1974,,8.71,8.21,10.05
5/21/1974,,8.56,8.13,9.83
5/22/1974,,8.39,8.07,11.21
5/23/1974,,8.35,7.98,11.31
5/24/1974,,8.27,7.94,
5/27/1974,,,,11.73
5/28/1974,,8.42,8.05,12.61
5/29/1974,,8.52,8.06,11.55
5/30/1974,,8.5,8.02,11.64
5/31/1974,,8.71,8.06,11.58
6/3/1974,,8.81,8.11,11.14
6/4/1974,,8.61,8.02,10.94
6/5/1974,,8.65,8.04,11.4
6/6/1974,,8.57,8,11.38
6/7/1974,,8.51,7.93,11.47
6/10/1974,,8.48,7.93,11.69
6/11/1974,,8.52,7.95,12.47
6/12/1974,,8.62,8.03,11.73
6/13/1974,,8.77,8.1,12.11
6/14/1974,,8.74,8.06,11.88
6/17/1974,,8.57,8.01,11.59
6/18/1974,,8.66,8.06,11.41
6/19/1974,,8.59,8.06,11.88
6/20/1974,,8.58,8.07,12
6/21/1974,,8.61,8.1,11.89
6/24/1974,,8.72,8.22,12.01
6/25/1974,,8.83,8.29,11.98
6/26/1974,,8.78,8.25,13.25
6/27/1974,,8.9,8.36,13.31
6/28/1974,,8.87,8.33,14.33
7/1/1974,,9,8.38,13.86
7/2/1974,,9,8.35,13.5
7/3/1974,,9.07,8.43,
7/4/1974,,,,13.3
7/5/1974,,9.1,8.51,13.93
7/8/1974,,9.2,8.63,13.93
7/9/1974,,9.13,8.63,12.15
7/10/1974,,9.05,8.58,13.41
7/11/1974,,8.98,8.54,13.6
7/12/1974,,8.65,8.41,13.33
7/15/1974,,8.56,8.42,12.24
7/16/1974,,8.65,8.42,11.52
7/17/1974,,8.62,8.38,12.26
7/18/1974,,8.63,8.38,12.38
7/19/1974,,8.6,8.29,12.28
7/22/1974,,8.5,8.18,12.32
7/23/1974,,8.47,8.15,14.19
7/24/1974,,8.34,8.06,12.64
7/25/1974,,8.44,8.04,12.6
7/26/1974,,8.7,8.24,11.96
7/29/1974,,8.77,8.32,11.56
7/30/1974,,9.03,8.47,12.06
7/31/1974,,9,8.46,12.25
8/1/1974,,9.13,8.57,12.17
8/2/1974,,9.21,8.68,12.02
8/5/1974,,9.09,8.61,11.91
8/6/1974,,8.99,8.53,11.96
8/7/1974,,9.09,8.62,12.09
8/8/1974,,9.09,8.59,12
8/9/1974,,9.16,8.62,12.02
8/12/1974,,9.13,8.58,12.09
8/13/1974,,9.15,8.6,11.93
8/14/1974,,9.13,8.58,12.21
8/15/1974,,9.02,8.57,12.33
8/16/1974,,9.01,8.53,12.35
8/19/1974,,9.05,8.53,12.3
8/20/1974,,9.21,8.56,11.79
8/21/1974,,9.42,8.65,12.13
8/22/1974,,9.93,8.74,12.07
8/23/1974,,10.03,8.79,12.09
8/26/1974,,10,8.77,11.62
8/27/1974,,9.82,8.72,10.82
8/28/1974,,9.82,8.71,11.67
8/29/1974,,9.77,8.68,11.6
8/30/1974,,9.73,8.63,
9/2/1974,,,,11.92
9/3/1974,,9.73,8.65,11.46
9/4/1974,,9.71,8.63,11.62
9/5/1974,,9.54,8.59,11.54
9/6/1974,,9.37,8.57,11.86
9/9/1974,,9.04,8.49,11.76
9/10/1974,,9.13,8.5,10.52
9/11/1974,,8.98,8.49,11.58
9/12/1974,,9.21,8.57,11.61
9/13/1974,,9.09,8.53,11.55
9/16/1974,,8.66,8.45,11.21
9/17/1974,,8.77,8.41,10.69
9/18/1974,,8.78,8.35,11.17
9/19/1974,,8.7,8.3,11.17
9/20/1974,,8.51,8.26,11.21
9/23/1974,,8.48,8.15,10.96
9/24/1974,,8.49,8.16,10.98
9/25/1974,,8.47,8.16,11
9/26/1974,,8.4,8.11,11.18
9/27/1974,,8.22,8.07,11.11
9/30/1974,,8.21,8.05,11.3
10/1/1974,,8.32,8.11,10.32
10/2/1974,,8.39,8.13,10.97
10/3/1974,,8.42,8.14,10.78
10/4/1974,,8.21,8.05,10.44
10/7/1974,,7.79,7.98,10.03
10/8/1974,,7.81,7.97,9.23
10/9/1974,,8.01,8.02,10.02
10/10/1974,,8.13,7.99,10.01
10/11/1974,,8.09,7.93,
10/14/1974,,,,10.35
10/15/1974,,8.08,7.92,10.38
10/16/1974,,8.19,7.96,10.04
10/17/1974,,8.16,7.98,9.76
